00000000000123;000001
00000000000345;000001
00000000000413;000001
00000000000727;000001
00000000000772;000001
00000000001007;000001
00000000001021;000001
00000000001397;000001
00000000002226;000001
00000000002233;000001
00000000002660;000001
00000000002752;000001
00000000002943;000001
00000000003056;000001
00000000003094;000001
00000000003148;000002
00000000003155;000001
00000000003384;000001
00000000003964;000001
00000000004190;000001
00000000004626;000001
00000000004756;000002
00000000004961;000001
00000000005005;000001
00000000005210;000001
00000000005258;000001
00000000005265;000001
00000000005678;000001
00000000006842;000001
00000000007009;000001
00000000007061;000001
00000000007108;000001
00000000008785;000001
00000000008815;000001
00000000008822;000001
00000000009607;000001
00000000009614;000001
00000000009812;000001
00000000009829;000001
00000000009973;000002
00000000010504;000001
00000000010542;000001
00000000010955;000001
00000000011068;000001
00000000011464;000002
00000000011471;000001
00000000011488;000001
00000000012546;000001
00000000012638;000001
00000000013031;000001
00000000013499;000002
00000000013642;000001
00000000014489;000001
00000000014816;000001
00000000014823;000001
00000000014939;000001
00000000015219;000001
00000000015349;000001
00000000015356;000002
00000000015387;000001
00000000015448;000001
00000000015714;000001
00000000015721;000001
00000000015738;000001
00000000015745;000001
00000000016025;000001
00000000016780;000001
00000000017046;000002
00000000017053;000001
00000000017152;000001
00000000017268;000001
00000000017374;000001
00000000017411;000001
00000000017497;000001
00000000017558;000002
00000000017602;000001
00000000017671;000001
00000000017909;000001
00000000017961;000001
00000000019279;000001
00000000019286;000001
00000000019354;000001
00000000019378;000001
00000000019446;000001
00000000019460;000001
00000000019590;000001
00000000020435;000001
00000000020459;000001
00000000020497;000001
00000000020503;000001
00000000020510;000001
00000000021692;000001
00000000021708;000001
00000000022316;000001
00000000022385;000001
00000000022392;000001
00000000022408;000001
00000000022620;000001
00000000022804;000001
00000000022897;000001
00000000022934;000001
00000000022958;000001
00000000022965;000001
00000000022972;000002
00000000022989;000001
00000000022996;000001
00000000023047;000001
00000000023061;000001
00000000023085;000001
00000000023436;000001
00000000023467;000001
00000000023474;000001
00000000023498;000001
00000000023504;000001
00000000023511;000001
00000000023771;000001
00000000024129;000001
00000000024532;000001
00000000024549;000001
00000000024563;000002
00000000024570;000001
00000000025515;000001
00000000025782;000001
00000000025836;000001
00000000027007;000001
00000000027014;000001
00000000027045;000001
00000000027274;000001
00000000027878;000001
00000000027939;000001
00000000027960;000001
00000000029346;000001
00000000030069;000001
00000000030885;000001
00000000031707;000001
00000000031783;000001
00000000031936;000001
00000000031943;000001
